,AlCoCrCu0.5Ni,BCC,[69],5.5,-10.2,6.5,2,1.6,7.4,1.9,0.8,5.5
AlCoCrCuNiTi,AlCoCrCuNiTi,B2+FCC+sigma,[71],6.6,-16.7,10.4,1.4,1.3,7.2,1.8,1.1,4.9
AlCoCrCuNiTiY,AlCoCrCuNiTiY,IM,[71],15.2,-19.3,16.1,1.4,0.7,6.6,1.9,1.6,7.1
,AlCoCrCuNiTiY0.5,IM,[71],12.6,-18.3,13.9,1.4,0.9,6.8,1.8,1.4,6.1
,AlCoCrCuNiTiY0.8,IM,[71],14.3,-19,15.3,1.4,0.8,6.7,1.9,1.5,6.7
AlCoCrFeMo,AlCo2CrFeMo0.5,FCC+BCC+sigma,[72],5.4,-10.4,7.1,2.1,17.5,6.9,1.9,0.9,4.9
,AlCo1.5CrFeMo0.5,BCC+sigma,[72],5.5,-10.4,7.2,2.2,17.5,6.7,1.9,0.9,5.2
,AlCoCrFeMo0.5,BCC+sigma,[72],5.5,-10.3,7.1,2.2,17.5,6.4,1.9,1,5.6
,AlCo0.5CrFeMo0.5,BCC+sigma,[72],5.5,-9.7,7,2.3,17.4,6.1,1.9,1,6.1
AlCoCrFeMoNi,Al0.25CoCrFeMoNi,FCC+FCC,[11],3.7,-7.1,6.1,3.5,18.2,7.8,1.8,0.5,2.1
,Al0.3CoCrFeMo0.1Ni,FCC,[11],3.8,-7.3,5.9,3.3,18,7.8,1.8,0.5,2.3
,AlCoCrFeMo0.5Ni2,FCC+BCC+sigma,[73],5.4,-11.5,7.5,2.2,17.3,7.5,1.9,0.9,4.3
,AlCoCrFe2Mo0.5Ni,BCC+sigma,[74],5.2,-9.7,7,2.6,15.8,7.2,1.9,0.8,4.1
,AlCoCr2FeMo0.5Ni,BCC+sigma,[75],5.1,-10.3,7.2,2.5,17.4,6.9,1.8,0.8,4
,AlCo2CrFeMo0.5Ni,FCC+BCC+sigma,[72],5.3,-10.7,7.2,2.3,17.5,7.4,1.9,0.9,4.3
,AlCoCrFeMo0.5Ni1.5,FCC+BCC+sigma,[73],5.4,-11.5,7.5,2.2,16.5,7.3,1.9,0.9,4.5
,AlCoCrFe1.5Mo0.5Ni,BCC+sigma,[74],5.3,-10.5,7.3,2.4,15.8,7.2,1.9,0.9,4.4
,AlCoCr1.5FeMo0.5Ni,BCC+sigma,[75],5.3,-10.8,7.4,2.4,16.6,7,1.8,0.8,4.3
,AlCo1.5CrFeMo0.5Ni,BCC+sigma,[72],5.4,-11.1,7.4,2.3,17.4,7.3,1.9,0.9,4.5
,AlCoCrFeMo0.5Ni,BCC+sigma,[74],5.5,-11.4,7.5,2.2,16.1,7.1,1.9,0.9,4.7
,AlCoCrFeMo0.2Ni,BCC+sigma,[76],5.4,-12,6.7,2,16.7,7.2,2,0.8,4.9
,AlCoCrFeMo0.3Ni,BCC+sigma,[76],5.4,-11.8,7,2.1,17,7.1,1.9,0.8,4.8
,AlCoCrFeMo0.4Ni,BCC+sigma,[76],5.5,-11.6,7.3,2.2,16.7,7.1,1.9,0.9,4.8
,AlCo0.5CrFeMo0.5Ni,BCC+sigma,[72],5.6,-11.7,7.7,2.2,14.7,6.9,1.9,0.9,5.1
,AlCoCr0.5FeMo0.5Ni,BCC+sigma,[75],5.7,-12.1,7.7,2.1,17.1,7.2,2,1,5.2
,AlCoCrFe0.6Mo0.5Ni,BCC+sigma,[74],5.6,-12.3,7.8,2.1,17,7,1.9,0.9,5
,AlCoCrFeMo0.1Ni,BCC,[76],5.3,-12.1,6.4,1.9,16.5,7.2,2,0.8,5
,AlCoCrFeMo0.5Ni0.5,BCC+sigma,[73],5.5,-11.1,7.4,2.3,16.3,6.8,1.9,0.9,5.1
AlCoCrFeNbNi,AlCoCrFeNb0.75Ni,L+(L+BCC),[77],6.5,-18,8.9,1.5,17.7,6.9,1.9,1.2,4.5
,AlCoCrFeNb0.5Ni,BCC+BCC+L,[77],6.2,-16.5,8.2,1.5,17.3,7,1.9,1,4.6
,AlCoCrFeNb0.25Ni,BCC+BCC+L,[77],5.8,-14.7,7.3,1.6,16.8,7.1,2,0.9,4.9
,AlCoCrFeNb0.1Ni,BCC,[77],5.5,-13.3,6.6,1.7,16.4,7.2,2,0.8,5
AlCoCrFeNi,Al0.25CoCrFeNi,FCC,[8],3.3,-6.8,5.3,3.3,17.8,7.9,1.8,0.4,2
,Al0.3CoCrFeNi,FCC+L12,[11],3.6,-7.3,5.4,3.1,17.7,7.9,1.8,0.4,2.3
,Al0.375CoCrFeNi,FCC,[8],3.9,-8,5.5,2.8,17.5,7.8,1.9,0.4,2.6
,Al0.5CoCrFeNi,FCC+BCC,[8],4.3,-9.1,5.6,2.5,17.2,7.7,1.9,0.5,3.2
,Al0.75CoCrFeNi,FCC+BCC,[8],4.9,-10.9,5.9,2,16.7,7.4,1.9,0.6,4.2
,Al0.875CoCrFeNi,FCC+BCC,[8],5.1,-11.7,5.9,1.9,16.4,7.3,2,0.7,4.7
,AlCoCrFeNi,FCC+B2,[9],5.3,-12.3,6,1.8,16.2,7.2,2,0.7,5.1
,Al1.25CoCrFeNi,BCC,[8],5.6,-13.4,6.2,1.6,15.8,7,2,0.8,5.8
,Al1.3CoCrFeNi,BCC+B2,[9],5.7,-13.7,6.2,1.5,15.7,7,2.1,0.8,5.9
,Al1.5CoCrFeNi,BCC,[8],5.8,-14.3,6.3,1.4,15.4,6.8,2.1,0.9,6.3
,Al1.75CoCrFeNi,BCC+B2,[9],5.9,-14.9,6.3,1.3,15.1,6.6,2.1,0.9,6.7
,Al2CoCrFeNi,BCC,[8],6.1,-15.4,6.4,1.2,14.8,6.5,2.2,1,7.1
,Al2.5CoCrFeNi,BCC,[10],6.2,-16.1,6.4,1.1,14.3,6.2,2.2,1.1,7.5
,Al3CoCrFeNi,BCC,[10],6.3,-16.4,6.4,1,13.9,6,2.3,1.2,7.8
